table,column,target_type,invalid_after_convert
sales,Date,date,0
sample_submission,Date,date,0
web_traffic,date,date,0
orders,order_date,date,0
returns,return_date,date,0
reviews,review_date,date,0
promotions,start_date,date,0
promotions,end_date,date,0
inventory,snapshot_date,date,0
customers,signup_date,date,0
sales,Revenue,numeric,0
sales,COGS,numeric,0
sample_submission,Revenue,numeric,0
sample_submission,COGS,numeric,0
web_traffic,sessions,numeric,0
web_traffic,unique_visitors,numeric,0
web_traffic,page_views,numeric,0
web_traffic,bounce_rate,numeric,0
web_traffic,avg_session_duration_sec,numeric,0
order_items,quantity,numeric,0
order_items,unit_price,numeric,0
order_items,discount_amount,numeric,0
products,price,numeric,0
products,cogs,numeric,0
returns,return_quantity,numeric,0
returns,refund_amount,numeric,0
reviews,rating,numeric,0
promotions,discount_value,numeric,0
promotions,min_order_value,numeric,0
promotions,stackable_flag,numeric,0
inventory,stock_on_hand,numeric,0
inventory,units_received,numeric,0
inventory,units_sold,numeric,0
inventory,stockout_days,numeric,0
inventory,days_of_supply,numeric,0
inventory,fill_rate,numeric,0
