stage,technique,status,evidence
clean,load raw tables,done,raw_tables + tables
clean,strip column names,done,df.columns strip whitespace
clean,correct date type,done,date_parse_report
clean,correct numeric type,done,numeric_conversion_report
clean,exact duplicate handling,done,drop exact duplicates if any
clean,required column validation,done,minimal_validation_report
clean,invalid negative value check,done,invalid_value_report
clean,outlier detection,done_flag_only,"IQR flag, no automatic capping"
clean,missing imputation in X,done,final_imputation_report
clean,business context outlier validation,done,business_outlier_rulebook + context reports
clean,target imputation,not_done_by_design,Do not fill Revenue/COGS
feature_engineering,daily aggregation,done,traffic/orders/items/returns/inventory
feature_engineering,calendar features,done,day_of_week/month/quarter/year/is_weekend
feature_engineering,lag features,done,1d and 7d
feature_engineering,rolling features,done,7d and 28d mean
feature_engineering,same-day leakage exclusion,done,same_day_source_cols excluded
feature_engineering,categorical encoding,not_needed_v1,Current X is numeric/calendar only
feature_engineering,scaling,not_done_yet,Usually belongs to modeling pipeline
feature_engineering,feature-target correlation,done,feature_target_correlation_report
feature_engineering,linearity scatter check,done,scatter plots for top correlated features
