table_name,column_name,invalid_after_conversion,dtype_after
sales,Revenue,0,float64
sales,COGS,0,float64
sample_submission,Revenue,0,float64
sample_submission,COGS,0,float64
web_traffic,sessions,0,int64
web_traffic,unique_visitors,0,int64
web_traffic,page_views,0,int64
web_traffic,bounce_rate,0,float64
web_traffic,avg_session_duration_sec,0,float64
order_items,quantity,0,int64
order_items,unit_price,0,float64
order_items,discount_amount,0,float64
products,price,0,float64
products,cogs,0,float64
returns,return_quantity,0,int64
returns,refund_amount,0,float64
inventory,stock_on_hand,0,int64
inventory,units_received,0,int64
inventory,units_sold,0,int64
inventory,stockout_days,0,int64
inventory,days_of_supply,0,float64
inventory,fill_rate,0,float64
