Date,value,target,iqr_upper_bound,distance_above_bound
2018-05-30,20905271.35,Revenue,9670559.77,11234711.580000002
2018-05-31,19289944.12,Revenue,9670559.77,9619384.350000001
2018-06-01,19245165.78,Revenue,9670559.77,9574606.010000002
2017-06-01,17639270.88,Revenue,9670559.77,7968711.109999999
2018-06-02,17529108.34,Revenue,9670559.77,7858548.57
2017-06-02,17528852.88,Revenue,9670559.77,7858293.109999999
2017-03-30,17516038.82,Revenue,9670559.77,7845479.050000001
2016-04-28,17388183.19,Revenue,9670559.77,7717623.420000002
2014-04-29,17347427.27,Revenue,9670559.77,7676867.5
2017-05-31,17314841.86,Revenue,9670559.77,7644282.09
2018-05-30,16535857.67,COGS,8367364.455,8168493.215
2017-03-30,16224964.49,COGS,8367364.455,7857600.035
2018-05-31,15561846.1,COGS,8367364.455,7194481.645
2018-06-01,15287542.6,COGS,8367364.455,6920178.145
2017-03-31,15209810.1,COGS,8367364.455,6842445.645
2017-04-01,14645912.76,COGS,8367364.455,6278548.305
2017-06-29,14163551.21,COGS,8367364.455,5796186.755000001
2017-06-02,14154253.77,COGS,8367364.455,5786889.3149999995
2017-06-01,14102311.81,COGS,8367364.455,5734947.355
2016-04-28,13978683.94,COGS,8367364.455,5611319.484999999
